mean,svm_linear__C,pca__n_components
0.59999999999999998,0.001953125,6
0.60434782608695647,0.00390625,6
0.63043478260869568,0.0078125,6
0.60869565217391308,0.015625,6
0.59565217391304348,0.03125,6
0.58695652173913049,0.0625,6
0.59130434782608698,0.125,6
0.59130434782608698,0.25,6
0.58260869565217388,0.5,6
0.58260869565217388,1,6
0.58260869565217388,2,6
0.58260869565217388,4,6
0.58260869565217388,8,6
0.58260869565217388,16,6
0.58260869565217388,32,6
0.58260869565217388,64,6
0.58260869565217388,128,6
0.58260869565217388,256,6
0.58260869565217388,512,6
0.59999999999999998,0.001953125,12
0.66086956521739126,0.00390625,12
0.66956521739130437,0.0078125,12
0.66956521739130437,0.015625,12
0.66956521739130437,0.03125,12
0.65652173913043477,0.0625,12
0.65652173913043477,0.125,12
0.66086956521739126,0.25,12
0.67391304347826086,0.5,12
0.66521739130434787,1,12
0.66086956521739126,2,12
0.65652173913043477,4,12
0.65652173913043477,8,12
0.65652173913043477,16,12
0.65652173913043477,32,12
0.65652173913043477,64,12
0.65652173913043477,128,12
0.65652173913043477,256,12
0.65652173913043477,512,12
0.60869565217391308,0.001953125,22
0.69565217391304346,0.00390625,22
0.73913043478260865,0.0078125,22
0.71739130434782605,0.015625,22
0.71739130434782605,0.03125,22
0.72608695652173916,0.0625,22
0.70869565217391306,0.125,22
0.71304347826086956,0.25,22
0.69999999999999996,0.5,22
0.69565217391304346,1,22
0.70434782608695656,2,22
0.69565217391304346,4,22
0.69999999999999996,8,22
0.70869565217391306,16,22
0.70869565217391306,32,22
0.70869565217391306,64,22
0.71304347826086956,128,22
0.71304347826086956,256,22
0.71304347826086956,512,22
0.62608695652173918,0.001953125,44
0.82608695652173914,0.00390625,44
0.82608695652173914,0.0078125,44
0.82608695652173914,0.015625,44
0.82173913043478264,0.03125,44
0.83913043478260874,0.0625,44
0.81304347826086953,0.125,44
0.80869565217391304,0.25,44
0.79565217391304344,0.5,44
0.81304347826086953,1,44
0.80434782608695654,2,44
0.80434782608695654,4,44
0.80869565217391304,8,44
0.80869565217391304,16,44
0.81739130434782614,32,44
0.80000000000000004,64,44
0.78260869565217395,128,44
0.77826086956521734,256,44
0.78260869565217395,512,44
0.65217391304347827,0.001953125,66
0.80869565217391304,0.00390625,66
0.80434782608695654,0.0078125,66
0.80434782608695654,0.015625,66
0.80434782608695654,0.03125,66
0.80434782608695654,0.0625,66
0.83043478260869563,0.125,66
0.82608695652173914,0.25,66
0.85217391304347823,0.5,66
0.85217391304347823,1,66
0.84782608695652173,2,66
0.84782608695652173,4,66
0.84782608695652173,8,66
0.84782608695652173,16,66
0.84782608695652173,32,66
0.84782608695652173,64,66
0.84782608695652173,128,66
0.84782608695652173,256,66
0.84782608695652173,512,66
0.64347826086956517,0.001953125,116
0.90434782608695652,0.00390625,116
0.87391304347826082,0.0078125,116
0.87826086956521743,0.015625,116
0.89565217391304353,0.03125,116
0.89565217391304353,0.0625,116
0.90000000000000002,0.125,116
0.90000000000000002,0.25,116
0.90000000000000002,0.5,116
0.90000000000000002,1,116
0.90000000000000002,2,116
0.90000000000000002,4,116
0.90000000000000002,8,116
0.90000000000000002,16,116
0.90000000000000002,32,116
0.90000000000000002,64,116
0.90000000000000002,128,116
0.90000000000000002,256,116
0.90000000000000002,512,116
