mean,lg_r__C,pca__n_components
0.66956521739130437,0.001953125,6
0.67391304347826086,0.001953125,12
0.72173913043478266,0.001953125,22
0.74347826086956526,0.001953125,44
0.77826086956521734,0.001953125,66
0.86956521739130432,0.001953125,116
0.58260869565217388,0.001953125,205
0.66956521739130437,0.00390625,6
0.67391304347826086,0.00390625,12
0.72608695652173916,0.00390625,22
0.74347826086956526,0.00390625,44
0.77826086956521734,0.00390625,66
0.86956521739130432,0.00390625,116
0.58260869565217388,0.00390625,205
0.66956521739130437,0.0078125,6
0.66956521739130437,0.0078125,12
0.72608695652173916,0.0078125,22
0.74347826086956526,0.0078125,44
0.77826086956521734,0.0078125,66
0.86956521739130432,0.0078125,116
0.58260869565217388,0.0078125,205
0.66956521739130437,0.015625,6
0.66521739130434787,0.015625,12
0.72608695652173916,0.015625,22
0.74347826086956526,0.015625,44
0.77826086956521734,0.015625,66
0.86956521739130432,0.015625,116
0.58260869565217388,0.015625,205
0.67391304347826086,0.03125,6
0.67391304347826086,0.03125,12
0.72608695652173916,0.03125,22
0.73478260869565215,0.03125,44
0.77826086956521734,0.03125,66
0.87391304347826082,0.03125,116
0.58260869565217388,0.03125,205
0.66956521739130437,0.0625,6
0.67391304347826086,0.0625,12
0.72608695652173916,0.0625,22
0.74347826086956526,0.0625,44
0.78260869565217395,0.0625,66
0.87826086956521743,0.0625,116
0.58260869565217388,0.0625,205
0.66086956521739126,0.125,6
0.68260869565217386,0.125,12
0.73043478260869565,0.125,22
0.74782608695652175,0.125,44
0.79130434782608694,0.125,66
0.87391304347826082,0.125,116
0.58260869565217388,0.125,205
0.66086956521739126,0.25,6
0.68260869565217386,0.25,12
0.72173913043478266,0.25,22
0.73913043478260865,0.25,44
0.80000000000000004,0.25,66
0.87391304347826082,0.25,116
0.58260869565217388,0.25,205
0.65652173913043477,0.5,6
0.68260869565217386,0.5,12
0.72608695652173916,0.5,22
0.74782608695652175,0.5,44
0.80000000000000004,0.5,66
0.86086956521739133,0.5,116
0.58260869565217388,0.5,205
0.65652173913043477,1.0,6
0.67826086956521736,1.0,12
0.72173913043478266,1.0,22
0.75652173913043474,1.0,44
0.79130434782608694,1.0,66
0.85652173913043483,1.0,116
0.58260869565217388,1.0,205
0.65652173913043477,2.0,6
0.67826086956521736,2.0,12
0.72608695652173916,2.0,22
0.74782608695652175,2.0,44
0.79565217391304344,2.0,66
0.85217391304347823,2.0,116
0.58260869565217388,2.0,205
0.65652173913043477,4.0,6
0.67826086956521736,4.0,12
0.72608695652173916,4.0,22
0.75217391304347825,4.0,44
0.79565217391304344,4.0,66
0.85217391304347823,4.0,116
0.58260869565217388,4.0,205
0.66086956521739126,8.0,6
0.67826086956521736,8.0,12
0.72608695652173916,8.0,22
0.73913043478260865,8.0,44
0.80434782608695654,8.0,66
0.85652173913043483,8.0,116
0.58695652173913049,8.0,205
0.66086956521739126,16.0,6
0.67826086956521736,16.0,12
0.72608695652173916,16.0,22
0.73913043478260865,16.0,44
0.79565217391304344,16.0,66
0.85652173913043483,16.0,116
0.58695652173913049,16.0,205
0.66086956521739126,32.0,6
0.67826086956521736,32.0,12
0.72608695652173916,32.0,22
0.73913043478260865,32.0,44
0.80000000000000004,32.0,66
0.85652173913043483,32.0,116
0.58695652173913049,32.0,205
0.66086956521739126,64.0,6
0.67826086956521736,64.0,12
0.72608695652173916,64.0,22
0.74347826086956526,64.0,44
0.80000000000000004,64.0,66
0.85652173913043483,64.0,116
0.58695652173913049,64.0,205
0.66086956521739126,128.0,6
0.67826086956521736,128.0,12
0.72608695652173916,128.0,22
0.73913043478260865,128.0,44
0.80434782608695654,128.0,66
0.85652173913043483,128.0,116
0.58260869565217388,128.0,205
0.66086956521739126,256.0,6
0.67826086956521736,256.0,12
0.72608695652173916,256.0,22
0.73913043478260865,256.0,44
0.80434782608695654,256.0,66
0.85652173913043483,256.0,116
0.58260869565217388,256.0,205
0.66086956521739126,512.0,6
0.67826086956521736,512.0,12
0.72608695652173916,512.0,22
0.74347826086956526,512.0,44
0.80434782608695654,512.0,66
0.85652173913043483,512.0,116
0.58260869565217388,512.0,205
